短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
64,9.0,11.7,1010,0.5446390350150271,0.838670567945424,7.23662,4.365454545,15
64,8.9,11.8,1010,0.5446390350150271,0.838670567945424,11.02185,5.673030303,16
64,8.7,11.8,1010,0.5299192642332049,0.848048096156426,6.47971,4.843636364,17
62,8.4,11.9,1010,0.5299192642332049,0.848048096156426,3.25525,3.623030303,18
61,8.0,12.0,1011,0.5299192642332049,0.848048096156426,5.02542,4.057878788,19
57,7.5,12.1,1011,0.4999999999999999,0.8660254037844387,2.863,4.00030303,20
52,7.0,12.3,1011,0.4226182617406994,0.90630778703665,0.98717,3.543030303,21
47,6.7,12.6,1011,0.374606593415912,0.9271838545667874,1.53292,3.272424242,22
43,6.6,12.9,1011,0.3420201433256687,0.9396926207859084,1.14863,3.071515152,23
40,6.7,13.3,1010,0.3907311284892737,0.9205048534524404,-0.18743,2.45969697,0
38,7.1,13.8,1009,0.4539904997395467,0.8910065241883679,-0.1621,3.014545455,1
38,7.1,14.3,1008,0.5150380749100542,0.8571673007021123,-0.17003,2.308484848,2
50,11.9,11.3,1013,0.4539904997395467,0.8910065241883679,-0.1524,1.376363636,3
52,11.8,11.5,1013,0.4999999999999999,0.8660254037844387,-0.15868,1.352727273,4
53,11.6,11.7,1013,0.5877852522924731,0.8090169943749475,-0.15425,0.82030303,5
53,11.4,12.0,1013,0.6560590289905072,0.754709580222772,-0.16284,0.516969697,6
50,11.1,12.3,1012,0.6946583704589973,0.7193398003386512,-0.1629,0.907575758,7
49,11.0,12.6,1011,0.7071067811865476,0.7071067811865476,-0.15784,0.748181818,8
50,10.9,12.9,1010,0.7193398003386511,0.6946583704589974,-0.1864,1.662424242,9
52,11.0,13.0,1010,0.7431448254773941,0.6691306063588582,26.84192,9.527575758,10
55,11.4,13.1,1010,0.754709580222772,0.6560590289905073,-0.00798,2.295151515,11
58,11.9,13.2,1011,0.766044443118978,0.6427876096865394,-0.19029,1.590909091,12
60,12.5,13.2,1011,0.766044443118978,0.6427876096865394,-0.15418,2.212121212,13
63,12.8,13.1,1012,0.766044443118978,0.6427876096865394,4.26254,4.670606061,14
66,13.0,12.8,1012,0.7431448254773941,0.6691306063588582,21.20935,7.024848485,15
67,12.8,12.4,1012,0.7071067811865476,0.7071067811865476,10.77575,5.35969697,16
