短期预测湿度 shift 60,短期预测风速 shift 60,短期预测温度 shift 60,短期预测气压 shift 60,短期预测风向sin shift 60,短期预测风向cos shift 60,实际功率,实际风速,HourOfDay
45,9.8,19.2,1010,0.5591929034707469,0.8290375725550417,-0.00446512,2.707211515,23
42,9.4,19.5,1009,0.7071067811865476,0.7071067811865476,-0.094911555,2.459271212,0
42,9.0,19.7,1009,0.8386705679454239,0.5446390350150272,-0.121967472,2.587760303,1
44,9.0,19.9,1008,0.9205048534524404,0.3907311284892739,-0.103649786,2.145907273,2
49,8.9,20.0,1007,0.9510565162951536,0.3090169943749474,-0.11120101,1.618032364,3
55,8.9,20.0,1007,0.9612616959383188,0.2756373558169991,-0.114241783,0.751574273,4
58,9.2,19.9,1007,0.9510565162951536,0.3090169943749474,-0.100797513,1.232171576,5
58,9.8,19.8,1007,0.9205048534524404,0.3907311284892739,-0.108212834,1.512835303,6
57,10.5,19.7,1007,0.8746197071393957,0.4848096202463371,-0.107815151,1.405257121,7
56,10.9,19.5,1008,0.8386705679454239,0.5446390350150272,-0.102246552,1.282550273,8
56,10.6,19.3,1009,0.7986355100472928,0.6018150231520484,-0.107935665,1.780623697,9
57,10.0,19.1,1009,0.754709580222772,0.6560590289905073,-0.11923834,3.122230303,10
57,9.2,18.8,1009,0.7071067811865476,0.7071067811865476,0.218272745,2.732952424,11
64,8.9,18.1,1009,0.6427876096865393,0.766044443118978,-0.098781458,1.863837121,12
65,8.4,17.6,1008,0.5877852522924731,0.8090169943749475,-0.110797437,2.098391818,13
65,8.2,17.2,1007,0.5446390350150271,0.838670567945424,-0.11076254,2.257182576,14
65,8.3,16.8,1006,0.5150380749100542,0.8571673007021123,-0.099446996,2.258212727,15
64,8.5,16.4,1006,0.5150380749100542,0.8571673007021123,-0.097192855,2.11336,16
64,8.7,16.2,1006,0.5150380749100542,0.8571673007021123,-0.104506636,1.900002121,17
63,8.8,16.1,1007,0.5150380749100542,0.8571673007021123,0.118911358,3.047614545,18
62,8.9,16.3,1007,0.5150380749100542,0.8571673007021123,-0.046377518,2.585117727,19
60,8.7,16.6,1008,0.5446390350150271,0.838670567945424,-0.061044339,2.50260697,20
56,8.4,17.1,1008,0.6018150231520483,0.7986355100472928,-0.056747741,2.294548182,21
53,8.1,17.7,1008,0.6819983600624985,0.7313537016191706,0.109983231,2.609121364,22
50,7.7,18.3,1008,0.766044443118978,0.6427876096865394,-0.072526438,2.632831212,23
