RT_Demand,DayOfWeek,HourOfDay
1202.97,4.0,2.0
1161.8,4.0,3.0
1140.96,4.0,4.0
1148.91,4.0,5.0
1197.58,4.0,6.0
1301.22,4.0,7.0
1420.01,4.0,8.0
1524.87,4.0,9.0
1615.52,4.0,10.0
1690.47,4.0,11.0
1750.85,4.0,12.0
1793.08,4.0,13.0
1828.17,4.0,14.0
1854.06,4.0,15.0
1869.34,4.0,16.0
1885.67,4.0,17.0
1898.95,4.0,18.0
1871.69,4.0,19.0
1798.69,4.0,20.0
1732.52,4.0,21.0
1640.59,4.0,22.0
1493.75,4.0,23.0
1348.04,5.0,0.0
1234.14,5.0,1.0
1155.31,5.0,2.0
1103.7,5.0,3.0
1074.57,5.0,4.0
1064.9,5.0,5.0
1075.44,5.0,6.0
1123.59,5.0,7.0
1229.22,5.0,8.0
1353.72,5.0,9.0
1471.9,5.0,10.0
1575.03,5.0,11.0
1661.96,5.0,12.0
1721.22,5.0,13.0
1761.3,5.0,14.0
1802.07,5.0,15.0
1834.19,5.0,16.0
1871.57,5.0,17.0
1911.34,5.0,18.0
1903.49,5.0,19.0
1821.16,5.0,20.0
1748.03,5.0,21.0
1651.42,5.0,22.0
1505.84,5.0,23.0
1360.17,6.0,0.0
1247.77,6.0,1.0
1174.11,6.0,2.0
1124.4,6.0,3.0
1092.63,6.0,4.0
1077.95,6.0,5.0
1076.6,6.0,6.0
1106.43,6.0,7.0
1205.72,6.0,8.0
1346.25,6.0,9.0
1479.56,6.0,10.0
1600.91,6.0,11.0
1693.4,6.0,12.0
1772.47,6.0,13.0
1836.15,6.0,14.0
1902.18,6.0,15.0
1945.39,6.0,16.0
1964.94,6.0,17.0
1982.57,6.0,18.0
1963.81,6.0,19.0
1908.74,6.0,20.0
1865.33,6.0,21.0
1771.52,6.0,22.0
1620.37,6.0,23.0
1477.44,0.0,0.0
1381.93,0.0,1.0
1321.99,0.0,2.0
1280.24,0.0,3.0
1263.58,0.0,4.0
1283.81,0.0,5.0
1350.96,0.0,6.0
1475.24,0.0,7.0
1639.44,0.0,8.0
1774.88,0.0,9.0
1908.9,0.0,10.0
2039.97,0.0,11.0
2157.72,0.0,12.0
2251.75,0.0,13.0
2322.48,0.0,14.0
2363.97,0.0,15.0
2382.86,0.0,16.0
2393.18,0.0,17.0
2402.19,0.0,18.0
2363.1,0.0,19.0
2286.91,0.0,20.0
2205.83,0.0,21.0
2081.17,0.0,22.0
1891.27,0.0,23.0
1722.89,1.0,0.0
1602.95,1.0,1.0
1518.93,1.0,2.0
1464.3,1.0,3.0
1437.0,1.0,4.0
1445.16,1.0,5.0
1499.69,1.0,6.0
1612.33,1.0,7.0
1778.73,1.0,8.0
